id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
NH_0036,唢呐制作技艺,非遗项目,传统技艺,市级非物质文化遗产代表性项目,桂城街道,113.211025,23.033377,0.0,0,0.0,0.0,0.0,50.0,15,4.033,9.0,58.86,33.86,空心景点区,,桂城儿童公园|桂城文化展馆|桂城图书馆|中国工商银行(佛山平洲和平支行)|平洲法源寺
ANC_0133,岑局楼,文化景观,,,九江镇,113.03,22.83,0.0,0,0.0,0.0,0.0,0.0,4,3.9,1.0,34.15,34.15,空心景点区,,九江上东小学|腾滘大社|上东三村路与大谷观音堂路交叉口|大谷观音堂路
NH_0046,赤坎盲公话,非遗项目,民间文学,区级非物质文化遗产代表性项目,大沥镇,113.141029,23.124052,0.0,0,0.0,0.0,0.0,25.0,12,3.833,3.0,47.2,34.7,空心景点区,,罗城三眼井|龙飞散打搏击俱乐部|武将搏击俱乐部|雅瑶桥|耳音阁采耳文化馆(保利店)
ANC_0129,烟桥村古桥,文化景观,,,九江镇,112.96,22.87,10.0,13,37.28,42.38,39.32,0.0,5,4.1,12.0,55.52,35.86,空心景点区,烟桥|烟桥村,烟南古村|烟桥古村|烟南南水村吴氏宗祠|何晃钊故居|中铁十九局集团有限公司龙翔大桥及引道工程项目经理部
ANC_0014,奎光楼,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.964276,22.933947,8.0,5,34.16,28.78,32.0,50.0,71,4.089,21.0,76.96,35.95,空心景点区,奎光楼,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0047,第弌洞天牌坊,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.964717,22.933533,4.0,6,25.02,31.25,27.51,50.0,50,4.089,21.0,74.73,35.97,空心景点区,牌坊,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0045,枕流亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.964888,22.932102,7.0,6,32.32,31.25,31.9,50.0,38,3.987,34.0,77.36,36.41,空心景点区,枕流亭,西樵山风景名胜区-樵园公园|茶花园|天湖公园|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0043,小云亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.966142,22.932936,6.0,5,30.25,28.78,29.66,50.0,37,4.056,35.0,77.78,37.95,空心景点区,小云亭,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0149,仙岗市,圩市街区,,,丹灶镇,112.887988,23.042004,0.0,0,0.0,0.0,0.0,0.0,4,3.533,3.0,39.75,39.75,空心景点区,,仙岗村村史馆|陈洲亲子美术馆|南海实验学校|葛仙遗迹
ANC_0003,象林塔,不可移动文物,古建筑,省级文物保护单位,西樵镇,112.963822,22.933414,0.0,0,0.0,0.0,0.0,75.0,74,4.089,22.0,77.68,40.18,空心景点区,,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
