name,level,town,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,entity_hit_sample
大沥锦龙盛会,区级,大沥镇,70.0,41,66.79,61.52,64.69,大沥|锦龙|锦龙盛会
大沥狮子会,区级,大沥镇,70.0,43,66.79,62.29,64.99,大沥|狮子|狮子会
狮中冥王诞,区级,桂城街道,0.0,0,0.0,0.0,0.0,
平地观音诞,区级,大沥镇,29.0,29,53.3,55.98,54.37,观音|观音诞
南海鼓乐,区级,桂城街道,3.0,3,21.72,22.82,22.16,鼓乐
万石辘木马,区级,桂城街道,0.0,0,0.0,0.0,0.0,
万石舞青火龙,区级,桂城街道,0.0,0,0.0,0.0,0.0,
南海广式旺阁酱油酿造技艺,区级,桂城街道,0.0,0,0.0,0.0,0.0,
西樵白眉武术,区级,西樵镇,119.0,88,75.02,73.88,74.56,武术|西樵
龙形拳,区级,桂城街道,2.0,1,17.21,11.41,14.89,龙形拳
沙皮狗斗狗习俗,区级,大沥镇,0.0,0,0.0,0.0,0.0,
大头佛（民乐大头佛）,区级,西樵镇,40.0,32,58.19,57.55,57.93,大头佛|民乐
传统龙舟（丹灶扒龙舟）,区级,丹灶镇,104.0,79,72.93,72.13,72.61,丹灶|扒龙舟|龙舟
汉字书法（康体）,区级,丹灶镇,12.0,4,40.19,26.49,34.71,书法|康体
苏村拜斗,区级,大沥镇,25.0,25,51.05,53.63,52.08,苏村
木作工具制作技艺,区级,桂城街道,0.0,0,0.0,0.0,0.0,
百西村头村六祖诞,区级,丹灶镇,24.0,33,50.44,58.04,53.48,六祖|村头村|百西|百西村
南海牛皮鼓制作技艺,区级,桂城街道,0.0,0,0.0,0.0,0.0,
南海剪纸,区级,桂城街道,16.0,12,44.4,42.22,43.52,剪纸
鹰爪拳,区级,九江镇,4.0,3,25.22,22.82,24.26,鹰爪|鹰爪拳
蔡李佛拳,区级,桂城街道,12.0,6,40.19,32.03,36.93,佛拳|蔡李佛|蔡李佛拳
水菱角制作技艺,区级,西樵镇,0.0,0,0.0,0.0,0.0,
广式烧腊制作技艺,区级,桂城街道,0.0,0,0.0,0.0,0.0,
中医传统制剂方法（冯了性传统膏方制作技艺）,区级,桂城街道,0.0,0,0.0,0.0,0.0,
咸鸭蛋腌制技艺（南海）,区级,桂城街道,0.0,0,0.0,0.0,0.0,
冯伯成传说,区级,桂城街道,0.0,0,0.0,0.0,0.0,
五郎八卦棍（鲁岗谢家）,区级,大沥镇,5.0,4,28.08,26.49,27.44,五郎八卦棍
洪拳功夫推拿,区级,西樵镇,38.0,12,57.41,42.22,51.33,洪拳
广式月饼制作技艺（南海）,区级,桂城街道,2.0,0,17.21,0.0,10.33,月饼
九江刀制作技艺,区级,九江镇,97.0,61,71.84,67.93,70.28,九江
九江鹤装狮头制作技艺,区级,九江镇,108.0,69,73.51,69.93,72.08,九江|狮头|鹤装狮
酱油酿造技艺（九江酱油酿造技艺）,区级,九江镇,97.0,61,71.84,67.93,70.28,九江
下东村周将军诞,区级,九江镇,7.0,4,32.58,26.49,30.15,东村|周将军
酿鲮鱼制作技艺（南海）,区级,桂城街道,0.0,0,0.0,0.0,0.0,
蛋散制作技艺（丹灶）,区级,丹灶镇,40.0,18,58.19,48.47,54.3,丹灶
传统中医药文化（保愈堂传统中医文化）,区级,桂城街道,0.0,0,0.0,0.0,0.0,
