town,official_grids,official_count_sum,immovable_count_sum,museum_count_sum,historical_area_count_sum,historical_street_count_sum
丹灶镇,44,113,68,0,25,0
九江镇,35,167,155,9,2,1
大沥镇,67,177,129,0,26,0
未标注,6,9,6,0,0,0
桂城街道,40,75,42,6,11,0
狮山镇,86,285,256,2,17,1
西樵镇,715,998,236,4,757,1
里水镇,54,165,134,3,25,0
