town,poi_total,cmi_mean,oai_mean,thi_mean,mi_mean,material_count,nh_anchor_count,nh_total_count
桂城街道,4174.0,25.59,34.38,61.13,31.15,0,33,32
里水镇,2625.0,57.56,25.0,31.01,-10.27,0,4,4
狮山镇,2233.0,82.62,25.0,4.48,-49.33,0,3,3
大沥镇,2080.0,6.86,50.0,33.57,5.14,0,14,14
丹灶镇,1086.0,31.88,40.83,20.78,-15.58,26,7,7
西樵镇,1055.0,41.98,45.51,40.22,-3.52,77,17,17
九江镇,259.0,31.41,43.18,31.02,-6.27,26,13,13
