town,poi_count,poi_with_seed,n_entity_0hop,n_entity_within_1hop,n_entity_within_2hop,mentions_0hop,mentions_within_1hop,mentions_within_2hop,official_0hop,official_within_1hop,official_within_2hop,layer_0hop,layer_within_1hop,layer_within_2hop
西樵镇,1314,455,83,1119,4622,2099,13533,30945,79,811,2944,"{""文化本体层"": 52, ""传承承载层"": 31}","{""文化本体层"": 569, ""认知支撑层"": 152, ""传承承载层"": 398}","{""传承承载层"": 2046, ""文化本体层"": 1727, ""认知支撑层"": 849}"
九江镇,533,166,25,180,2612,258,5460,23320,24,138,1747,"{""文化本体层"": 20, ""传承承载层"": 5}","{""认知支撑层"": 15, ""文化本体层"": 92, ""传承承载层"": 73}","{""传承承载层"": 1089, ""文化本体层"": 1065, ""认知支撑层"": 458}"
丹灶镇,718,97,17,173,2418,284,5313,22314,15,141,1640,"{""文化本体层"": 12, ""传承承载层"": 5}","{""认知支撑层"": 14, ""传承承载层"": 61, ""文化本体层"": 98}","{""传承承载层"": 994, ""文化本体层"": 1027, ""认知支撑层"": 397}"
桂城街道,3987,17,1,27,762,47,1376,11627,1,22,557,"{""传承承载层"": 1}","{""文化本体层"": 11, ""传承承载层"": 14, ""认知支撑层"": 2}","{""传承承载层"": 320, ""认知支撑层"": 74, ""文化本体层"": 368}"
狮山镇,2548,6,2,13,478,10,873,9062,2,10,368,"{""文化本体层"": 2}","{""文化本体层"": 8, ""传承承载层"": 2, ""认知支撑层"": 3}","{""传承承载层"": 188, ""认知支撑层"": 42, ""文化本体层"": 248}"
未标注,285,1,1,3,107,2,172,3001,1,3,78,"{""文化本体层"": 1}","{""文化本体层"": 2, ""传承承载层"": 1}","{""认知支撑层"": 13, ""传承承载层"": 42, ""文化本体层"": 52}"
大沥镇,2641,0,0,0,0,0,0,0,0,0,0,{},{},{}
里水镇,1189,0,0,0,0,0,0,0,0,0,0,{},{},{}
