poi_id,poi_name,town,lng,lat,n_anchor_tag,n_seed_entity,n_hop1_new,n_hop2_new,mentions_0,mentions_1_new,mentions_2_new,official_0,official_1_new,official_2_new
B0FFIZPS1X,五斗水闸牌坊,桂城街道,113.20803,23.013883,0,0,0,0,0,0,0,0,0,0
B0FFGA58BQ,银坑村祠堂(乡约),西樵镇,112.883841,22.858808,0,0,0,0,0,0,0,0,0,0
B0FFFEOXGO,拱北公园,里水镇,113.122488,23.115259,0,0,0,0,0,0,0,0,0,0
B0FFGZ0A5W,恒大御景半岛钟楼,里水镇,113.206273,23.185379,0,0,0,0,0,0,0,0,0,0
B0FFFU6C0S,大德社区活动公园,桂城街道,113.195306,23.034234,0,0,0,0,0,0,0,0,0,0
B02F507LDP,马大将军庙,桂城街道,113.149013,23.004873,0,0,0,0,0,0,0,0,0,0
B02F50V3ZM,基督教里水堂,里水镇,113.150468,23.180009,0,0,0,0,0,0,0,0,0,0
B02F507JSS,大沥公园,大沥镇,113.12273,23.111971,0,0,0,0,0,0,0,0,0,0
B0FFIOXZ4F,祖盛徐公祠,狮山镇,112.931265,23.089919,1,1,0,0,2,0,0,1,0,0
B0FFI2ATL2,胡氏宗祠,里水镇,113.133419,23.180881,0,0,0,0,0,0,0,0,0,0
B0FFI29O18,罗城三眼井,里水镇,113.141389,23.1262,0,0,0,0,0,0,0,0,0,0
B0FFH42V09,慕道马公祠,里水镇,113.163914,23.201289,0,0,0,0,0,0,0,0,0,0
B0FFGAUTTN,寨边五队李氏宗祠,狮山镇,113.05529,23.052069,0,0,0,0,0,0,0,0,0,0
B0FFFZ1P4M,潘氏宗祠,里水镇,113.17906,23.080363,0,0,0,0,0,0,0,0,0,0
B02F50Y7VB,茶基三圣宫,桂城街道,113.125265,23.052211,0,0,0,0,0,0,0,0,0,0
B02F50UZ0J,芦溪公园,狮山镇,113.04637,23.068734,0,0,0,0,0,0,0,0,0,0
B02F5077P8,观音古庙,西樵镇,112.988079,22.964669,0,0,0,0,0,0,0,0,0,0
B0FFI2NKOS,刘氏宗祠,大沥镇,113.105078,23.208956,0,0,0,0,0,0,0,0,0,0
B0FFI8R7U0,大藤水岸公园,狮山镇,112.968019,23.072709,0,0,0,0,0,0,0,0,0,0
B0FFF9YW23,南国桃园-南海观音寺-三圣殿,大沥镇,113.109446,23.177103,0,0,0,0,0,0,0,0,0,0
B0FFHQ82GN,南海区基督教官窑堂,狮山镇,113.074741,23.22898,0,0,0,0,0,0,0,0,0,0
B0FFI47T13,大石古庙公园,里水镇,113.127932,23.197279,0,0,0,0,0,0,0,0,0,0
B0FFHTZ1CY,玄武庙,大沥镇,113.202008,23.090113,0,0,0,0,0,0,0,0,0,0
B0FFGPUY2E,慧庆禅寺,狮山镇,113.019029,23.06951,0,0,0,0,0,0,0,0,0,0
B0FFF9QSF5,百岁祠,狮山镇,113.026602,23.109361,0,0,0,0,0,0,0,0,0,0
B02F50WJ1N,蛇三公园,里水镇,113.135641,23.098922,0,0,0,0,0,0,0,0,0,0
B02F50WFQ7,下沙滘文化广场,丹灶镇,112.947552,23.052086,0,0,0,0,0,0,0,0,0,0
B02F50UEO4,杜氏大宗祠,大沥镇,113.202257,23.133661,0,0,0,0,0,0,0,0,0,0
B02F5077AV,大谷天后宫,九江镇,113.044815,22.830577,1,1,2,104,2,170,2829,1,2,75
B02F50767M,本立黄公祠,狮山镇,113.02107,23.065418,0,0,0,0,0,0,0,0,0,0
B02F50UEOH,信峰公园,里水镇,113.166471,23.201059,0,0,0,0,0,0,0,0,0,0
B02F507B10,张边南公园,大沥镇,113.096157,23.11927,0,0,0,0,0,0,0,0,0,0
B0FFHS6566,郭氏宗祠,大沥镇,113.067262,23.062151,0,0,0,0,0,0,0,0,0,0
B0FFHLTQ3Y,善薮吴公祠,里水镇,113.133878,23.110373,0,0,0,0,0,0,0,0,0,0
B0FFGJBA03,麦氏宗祠(不对外开放),丹灶镇,112.955626,23.049197,0,0,0,0,0,0,0,0,0,0
B02F5078F5,曾氏宗祠,狮山镇,112.993361,23.072428,0,0,0,0,0,0,0,0,0,0
B02F507708,宝莲寺,西樵镇,112.963174,22.911141,1,1,1,374,3,487,6252,1,1,277
B0FFH43SXO,唐氏宗祠,里水镇,113.1245,23.129054,0,0,0,0,0,0,0,0,0,0
B02F50XH9A,雅瑶文化广场,里水镇,113.144797,23.129505,0,0,0,0,0,0,0,0,0,0
B0FFH49B76,天南圣裔,大沥镇,113.175729,23.111513,0,0,0,0,0,0,0,0,0,0
B0FFH989SN,九江镇望海观音寺(不对外开放),九江镇,113.006075,22.822722,0,0,0,0,0,0,0,0,0,0
B0FFJ5JXOQ,中共南三花工委旧址,里水镇,113.141342,23.191706,0,0,0,0,0,0,0,0,0,0
B02F5077OQ,大镇二中公园,大沥镇,113.110262,23.081638,0,0,0,0,0,0,0,0,0,0
B02F50WG6V,中共南海县委旧址,狮山镇,113.100939,23.134657,0,0,0,0,0,0,0,0,0,0
B0FFH44AZT,十四世周公祠,大沥镇,113.067352,23.096202,0,0,0,0,0,0,0,0,0,0
B0FFIR3WFQ,黄氏宗祠,大沥镇,113.105668,23.206358,0,0,0,0,0,0,0,0,0,0
B02F511C42,元冈古庙,大沥镇,113.085772,23.183858,0,0,0,0,0,0,0,0,0,0
B0FFH47SVE,罗氏宗祠,狮山镇,113.058429,23.181952,0,0,0,0,0,0,0,0,0,0
B0FFG3CTQM,甘蕉公园,里水镇,113.142719,23.172335,0,0,0,0,0,0,0,0,0,0
B0FFFOF058,𧒽岗公园-魁星阁,桂城街道,113.146329,23.040377,0,0,0,0,0,0,0,0,0,0
B0FFF9XGDJ,帅府,桂城街道,113.238043,23.032801,0,0,0,0,0,0,0,0,0,0
B0FFF0FDHE,佛山植物园,狮山镇,112.99295,23.097592,0,0,0,0,0,0,0,0,0,0
B02F50XHK7,市民广场,狮山镇,113.002752,23.119338,0,0,0,0,0,0,0,0,0,0
B02F503RDN,南庄张公祠,大沥镇,113.101194,23.133192,0,0,0,0,0,0,0,0,0,0
B0FFJ0DV69,江美麦氏宗祠,狮山镇,112.979843,23.161462,0,0,0,0,0,0,0,0,0,0
B0FFH3ZEI7,何氏大宗祠,狮山镇,113.028958,23.190678,0,0,0,0,0,0,0,0,0,0
B02F50UVAK,上街公园,大沥镇,113.083965,23.135734,0,0,0,0,0,0,0,0,0,0
B02F506TPF,观荣何公祠,狮山镇,112.987068,23.14306,0,0,0,0,0,0,0,0,0,0
B0FFJKIBZ7,胜利公园,里水镇,113.180723,23.19054,0,0,0,0,0,0,0,0,0,0
B0FFJ49GKR,莫氏宗祠,丹灶镇,112.929638,22.974353,0,0,0,0,0,0,0,0,0,0
B0FFI88KH1,程氏大宗祠,西樵镇,112.947512,22.970814,0,0,0,0,0,0,0,0,0,0
B0FFHS5BUQ,宣抚使梁公祠,桂城街道,113.157707,23.005957,0,0,0,0,0,0,0,0,0,0
B0FFHROM95,黎氏宗祠,桂城街道,113.169065,23.049273,0,0,0,0,0,0,0,0,0,0
