ix,iy,town,clng,clat,poi_count,poi_with_seed,n_entity_0hop,n_entity_within_1hop,n_entity_within_2hop,mentions_0hop,mentions_within_1hop,mentions_within_2hop,official_0hop,official_within_1hop,official_within_2hop
61,71,大沥镇,113.09675,23.10175,1,0,0,0,0,0,0,0,0,0,0
58,71,大沥镇,113.08325,23.10175,1,0,0,0,0,0,0,0,0,0,0
61,70,大沥镇,113.09675,23.09725,2,0,0,0,0,0,0,0,0,0,0
74,71,大沥镇,113.15525,23.10175,5,0,0,0,0,0,0,0,0,0,0
72,79,大沥镇,113.14625,23.13775,1,0,0,0,0,0,0,0,0,0,0
68,73,大沥镇,113.12825,23.11075,3,0,0,0,0,0,0,0,0,0,0
58,70,大沥镇,113.08325,23.09725,1,0,0,0,0,0,0,0,0,0,0
60,70,大沥镇,113.09225,23.09725,3,0,0,0,0,0,0,0,0,0,0
64,75,大沥镇,113.11025,23.11975,2,0,0,0,0,0,0,0,0,0,0
75,66,大沥镇,113.15975,23.07925,4,0,0,0,0,0,0,0,0,0,0
78,70,大沥镇,113.17325,23.09725,7,0,0,0,0,0,0,0,0,0,0
71,78,大沥镇,113.14175,23.13325,1,0,0,0,0,0,0,0,0,0,0
60,67,大沥镇,113.09225,23.08375,4,0,0,0,0,0,0,0,0,0,0
71,70,大沥镇,113.14175,23.09725,1,0,0,0,0,0,0,0,0,0,0
67,67,大沥镇,113.12375,23.08375,2,0,0,0,0,0,0,0,0,0,0
80,70,大沥镇,113.18225,23.09725,26,0,0,0,0,0,0,0,0,0,0
67,70,大沥镇,113.12375,23.09725,5,0,0,0,0,0,0,0,0,0,0
82,76,大沥镇,113.19125,23.12425,4,0,0,0,0,0,0,0,0,0,0
82,77,大沥镇,113.19125,23.12875,5,0,0,0,0,0,0,0,0,0,0
73,69,大沥镇,113.15075,23.09275,2,0,0,0,0,0,0,0,0,0,0
61,76,大沥镇,113.09675,23.12425,2,0,0,0,0,0,0,0,0,0,0
65,65,大沥镇,113.11475,23.07475,1,0,0,0,0,0,0,0,0,0,0
73,67,大沥镇,113.15075,23.08375,3,0,0,0,0,0,0,0,0,0,0
78,69,大沥镇,113.17325,23.09275,8,0,0,0,0,0,0,0,0,0,0
76,70,大沥镇,113.16425,23.09725,14,0,0,0,0,0,0,0,0,0,0
61,68,大沥镇,113.09675,23.08825,2,0,0,0,0,0,0,0,0,0,0
73,71,大沥镇,113.15075,23.10175,1,0,0,0,0,0,0,0,0,0,0
83,81,大沥镇,113.19575,23.14675,42,0,0,0,0,0,0,0,0,0,0
60,72,大沥镇,113.09225,23.10625,4,0,0,0,0,0,0,0,0,0,0
63,77,大沥镇,113.10575,23.12875,3,0,0,0,0,0,0,0,0,0,0
66,76,大沥镇,113.11925,23.12425,4,0,0,0,0,0,0,0,0,0,0
73,73,大沥镇,113.15075,23.11075,5,0,0,0,0,0,0,0,0,0,0
79,85,大沥镇,113.17775,23.16475,1,0,0,0,0,0,0,0,0,0,0
70,77,大沥镇,113.13725,23.12875,2,0,0,0,0,0,0,0,0,0,0
79,77,大沥镇,113.17775,23.12875,1,0,0,0,0,0,0,0,0,0,0
69,76,大沥镇,113.13275,23.12425,1,0,0,0,0,0,0,0,0,0,0
78,75,大沥镇,113.17325,23.11975,2,0,0,0,0,0,0,0,0,0,0
66,81,大沥镇,113.11925,23.14675,1,0,0,0,0,0,0,0,0,0,0
82,69,大沥镇,113.19125,23.09275,3,0,0,0,0,0,0,0,0,0,0
77,78,大沥镇,113.16875,23.13325,1,0,0,0,0,0,0,0,0,0,0
79,80,大沥镇,113.17775,23.14225,1,0,0,0,0,0,0,0,0,0,0
85,70,大沥镇,113.20475,23.09725,4,0,0,0,0,0,0,0,0,0,0
80,85,大沥镇,113.18225,23.16475,2,0,0,0,0,0,0,0,0,0,0
71,67,大沥镇,113.14175,23.08375,3,0,0,0,0,0,0,0,0,0,0
83,74,大沥镇,113.19575,23.11525,7,0,0,0,0,0,0,0,0,0,0
84,69,大沥镇,113.20025,23.09275,6,0,0,0,0,0,0,0,0,0,0
68,77,大沥镇,113.12825,23.12875,1,0,0,0,0,0,0,0,0,0,0
59,72,大沥镇,113.08775,23.10625,2,0,0,0,0,0,0,0,0,0,0
83,76,大沥镇,113.19575,23.12425,3,0,0,0,0,0,0,0,0,0,0
69,67,大沥镇,113.13275,23.08375,1,0,0,0,0,0,0,0,0,0,0
85,71,大沥镇,113.20475,23.10175,1,0,0,0,0,0,0,0,0,0,0
71,75,大沥镇,113.14175,23.11975,2,0,0,0,0,0,0,0,0,0,0
67,66,大沥镇,113.12375,23.07925,4,0,0,0,0,0,0,0,0,0,0
73,70,大沥镇,113.15075,23.09725,2,0,0,0,0,0,0,0,0,0,0
81,70,大沥镇,113.18675,23.09725,2,0,0,0,0,0,0,0,0,0,0
64,77,大沥镇,113.11025,23.12875,3,0,0,0,0,0,0,0,0,0,0
66,65,大沥镇,113.11925,23.07475,2,0,0,0,0,0,0,0,0,0,0
81,78,大沥镇,113.18675,23.13325,1,0,0,0,0,0,0,0,0,0,0
74,66,大沥镇,113.15525,23.07925,6,0,0,0,0,0,0,0,0,0,0
79,75,大沥镇,113.17775,23.11975,1,0,0,0,0,0,0,0,0,0,0
71,71,大沥镇,113.14175,23.10175,5,0,0,0,0,0,0,0,0,0,0
76,67,大沥镇,113.16425,23.08375,3,0,0,0,0,0,0,0,0,0,0
76,76,大沥镇,113.16425,23.12425,2,0,0,0,0,0,0,0,0,0,0
66,79,大沥镇,113.11925,23.13775,3,0,0,0,0,0,0,0,0,0,0
63,70,大沥镇,113.10575,23.09725,1,0,0,0,0,0,0,0,0,0,0
72,68,大沥镇,113.14625,23.08825,1,0,0,0,0,0,0,0,0,0,0
60,73,大沥镇,113.09225,23.11075,2,0,0,0,0,0,0,0,0,0,0
72,70,大沥镇,113.14625,23.09725,1,0,0,0,0,0,0,0,0,0,0
64,69,大沥镇,113.11025,23.09275,2,0,0,0,0,0,0,0,0,0,0
66,70,大沥镇,113.11925,23.09725,1,0,0,0,0,0,0,0,0,0,0
65,77,大沥镇,113.11475,23.12875,1,0,0,0,0,0,0,0,0,0,0
75,76,大沥镇,113.15975,23.12425,1,0,0,0,0,0,0,0,0,0,0
80,77,大沥镇,113.18225,23.12875,1,0,0,0,0,0,0,0,0,0,0
77,76,大沥镇,113.16875,23.12425,2,0,0,0,0,0,0,0,0,0,0
86,71,大沥镇,113.20925,23.10175,2,0,0,0,0,0,0,0,0,0,0
78,72,大沥镇,113.17325,23.10625,4,0,0,0,0,0,0,0,0,0,0
83,70,大沥镇,113.19575,23.09725,2,0,0,0,0,0,0,0,0,0,0
81,86,大沥镇,113.18675,23.16925,1,0,0,0,0,0,0,0,0,0,0
65,66,大沥镇,113.11475,23.07925,1,0,0,0,0,0,0,0,0,0,0
63,78,大沥镇,113.10575,23.13325,2,0,0,0,0,0,0,0,0,0,0
79,83,大沥镇,113.17775,23.15575,3,0,0,0,0,0,0,0,0,0,0
67,81,大沥镇,113.12375,23.14675,1,0,0,0,0,0,0,0,0,0,0
64,70,大沥镇,113.11025,23.09725,1,0,0,0,0,0,0,0,0,0,0
67,71,大沥镇,113.12375,23.10175,2,0,0,0,0,0,0,0,0,0,0
62,68,大沥镇,113.10125,23.08825,2,0,0,0,0,0,0,0,0,0,0
66,80,大沥镇,113.11925,23.14225,1,0,0,0,0,0,0,0,0,0,0
77,65,大沥镇,113.16875,23.07475,3,0,0,0,0,0,0,0,0,0,0
63,76,大沥镇,113.10575,23.12425,3,0,0,0,0,0,0,0,0,0,0
71,68,大沥镇,113.14175,23.08825,1,0,0,0,0,0,0,0,0,0,0
72,66,大沥镇,113.14625,23.07925,1,0,0,0,0,0,0,0,0,0,0
68,80,大沥镇,113.12825,23.14225,1,0,0,0,0,0,0,0,0,0,0
70,68,大沥镇,113.13725,23.08825,1,0,0,0,0,0,0,0,0,0,0
68,81,大沥镇,113.12825,23.14675,1,0,0,0,0,0,0,0,0,0,0
78,71,大沥镇,113.17325,23.10175,1,0,0,0,0,0,0,0,0,0,0
78,81,大沥镇,113.17325,23.14675,1,0,0,0,0,0,0,0,0,0,0
71,79,大沥镇,113.14175,23.13775,1,0,0,0,0,0,0,0,0,0,0
68,72,大沥镇,113.12825,23.10625,2,0,0,0,0,0,0,0,0,0,0
77,72,大沥镇,113.16875,23.10625,1,0,0,0,0,0,0,0,0,0,0
73,66,大沥镇,113.15075,23.07925,3,0,0,0,0,0,0,0,0,0,0
59,71,大沥镇,113.08775,23.10175,1,0,0,0,0,0,0,0,0,0,0
76,72,大沥镇,113.16425,23.10625,2,0,0,0,0,0,0,0,0,0,0
77,66,大沥镇,113.16875,23.07925,1,0,0,0,0,0,0,0,0,0,0
75,68,大沥镇,113.15975,23.08825,2,0,0,0,0,0,0,0,0,0,0
49,11,未标注,113.04275,22.83175,1,1,1,3,107,2,172,3001,1,3,78
85,90,未标注,113.20475,23.18725,1,0,0,0,0,0,0,0,0,0,0
52,60,未标注,113.05625,23.05225,1,0,0,0,0,0,0,0,0,0,0
79,66,未标注,113.17775,23.07925,1,0,0,0,0,0,0,0,0,0,0
78,99,未标注,113.17325,23.22775,2,0,0,0,0,0,0,0,0,0,0
86,78,未标注,113.20925,23.13325,1,0,0,0,0,0,0,0,0,0,0
79,64,未标注,113.17775,23.07025,1,0,0,0,0,0,0,0,0,0,0
84,76,未标注,113.20025,23.12425,3,0,0,0,0,0,0,0,0,0,0
72,53,未标注,113.14625,23.02075,4,0,0,0,0,0,0,0,0,0,0
12,15,未标注,112.87625,22.84975,1,0,0,0,0,0,0,0,0,0,0
86,69,未标注,113.20925,23.09275,2,0,0,0,0,0,0,0,0,0,0
49,56,未标注,113.04275,23.03425,1,0,0,0,0,0,0,0,0,0,0
80,66,未标注,113.18225,23.07925,1,0,0,0,0,0,0,0,0,0,0
68,59,未标注,113.12825,23.04775,6,0,0,0,0,0,0,0,0,0,0
73,54,未标注,113.15075,23.02525,14,0,0,0,0,0,0,0,0,0,0
85,88,未标注,113.20475,23.17825,2,0,0,0,0,0,0,0,0,0,0
85,72,未标注,113.20475,23.10625,1,0,0,0,0,0,0,0,0,0,0
86,80,未标注,113.20925,23.14225,2,0,0,0,0,0,0,0,0,0,0
95,46,未标注,113.24975,22.98925,1,0,0,0,0,0,0,0,0,0,0
82,86,未标注,113.19125,23.16925,1,0,0,0,0,0,0,0,0,0,0
84,60,未标注,113.20025,23.05225,1,0,0,0,0,0,0,0,0,0,0
50,27,未标注,113.04725,22.90375,2,0,0,0,0,0,0,0,0,0,0
87,70,未标注,113.21375,23.09725,1,0,0,0,0,0,0,0,0,0,0
51,60,未标注,113.05175,23.05225,2,0,0,0,0,0,0,0,0,0,0
46,56,未标注,113.02925,23.03425,1,0,0,0,0,0,0,0,0,0,0
41,18,未标注,113.00675,22.86325,2,0,0,0,0,0,0,0,0,0,0
85,75,未标注,113.20475,23.11975,1,0,0,0,0,0,0,0,0,0,0
44,14,未标注,113.02025,22.84525,1,0,0,0,0,0,0,0,0,0,0
50,57,未标注,113.04725,23.03875,1,0,0,0,0,0,0,0,0,0,0
87,79,未标注,113.21375,23.13775,1,0,0,0,0,0,0,0,0,0,0
35,47,未标注,112.97975,22.99375,1,0,0,0,0,0,0,0,0,0,0
86,67,未标注,113.20925,23.08375,1,0,0,0,0,0,0,0,0,0,0
84,75,未标注,113.20025,23.11975,2,0,0,0,0,0,0,0,0,0,0
60,60,未标注,113.09225,23.05225,1,0,0,0,0,0,0,0,0,0,0
78,64,未标注,113.17325,23.07025,5,0,0,0,0,0,0,0,0,0,0
85,81,未标注,113.20475,23.14675,22,0,0,0,0,0,0,0,0,0,0
72,52,未标注,113.14625,23.01625,117,0,0,0,0,0,0,0,0,0,0
35,48,未标注,112.97975,22.99825,1,0,0,0,0,0,0,0,0,0,0
62,63,未标注,113.10125,23.06575,2,0,0,0,0,0,0,0,0,0,0
65,63,未标注,113.11475,23.06575,2,0,0,0,0,0,0,0,0,0,0
17,48,未标注,112.89875,22.99825,2,0,0,0,0,0,0,0,0,0,0
42,23,未标注,113.01125,22.88575,1,0,0,0,0,0,0,0,0,0,0
27,95,未标注,112.94375,23.20975,1,0,0,0,0,0,0,0,0,0,0
70,54,未标注,113.13725,23.02525,7,0,0,0,0,0,0,0,0,0,0
73,48,未标注,113.15075,22.99825,1,0,0,0,0,0,0,0,0,0,0
95,52,未标注,113.24975,23.01625,1,0,0,0,0,0,0,0,0,0,0
84,81,未标注,113.20025,23.14675,3,0,0,0,0,0,0,0,0,0,0
86,70,未标注,113.20925,23.09725,1,0,0,0,0,0,0,0,0,0,0
68,57,未标注,113.12825,23.03875,7,0,0,0,0,0,0,0,0,0,0
71,52,未标注,113.14175,23.01625,1,0,0,0,0,0,0,0,0,0,0
70,51,未标注,113.13725,23.01175,6,0,0,0,0,0,0,0,0,0,0
54,60,未标注,113.06525,23.05225,1,0,0,0,0,0,0,0,0,0,0
95,53,未标注,113.24975,23.02075,2,0,0,0,0,0,0,0,0,0,0
40,56,未标注,113.00225,23.03425,1,0,0,0,0,0,0,0,0,0,0
47,56,未标注,113.03375,23.03425,1,0,0,0,0,0,0,0,0,0,0
78,65,未标注,113.17325,23.07475,4,0,0,0,0,0,0,0,0,0,0
35,44,未标注,112.97975,22.98025,1,0,0,0,0,0,0,0,0,0,0
19,82,未标注,112.90775,23.15125,1,0,0,0,0,0,0,0,0,0,0
85,68,未标注,113.20475,23.08825,1,0,0,0,0,0,0,0,0,0,0
67,59,未标注,113.12375,23.04775,1,0,0,0,0,0,0,0,0,0,0
68,58,未标注,113.12825,23.04325,1,0,0,0,0,0,0,0,0,0,0
81,62,未标注,113.18675,23.06125,2,0,0,0,0,0,0,0,0,0,0
42,33,未标注,113.01125,22.93075,1,0,0,0,0,0,0,0,0,0,0
48,23,未标注,113.03825,22.88575,1,0,0,0,0,0,0,0,0,0,0
58,61,未标注,113.08325,23.05675,1,0,0,0,0,0,0,0,0,0,0
79,63,未标注,113.17775,23.06575,1,0,0,0,0,0,0,0,0,0,0
81,50,未标注,113.18675,23.00725,1,0,0,0,0,0,0,0,0,0,0
38,44,未标注,112.99325,22.98025,2,0,0,0,0,0,0,0,0,0,0
40,38,未标注,113.00225,22.95325,1,0,0,0,0,0,0,0,0,0,0
36,45,未标注,112.98425,22.98475,1,0,0,0,0,0,0,0,0,0,0
40,39,未标注,113.00225,22.95775,2,0,0,0,0,0,0,0,0,0,0
39,38,未标注,112.99775,22.95325,1,0,0,0,0,0,0,0,0,0,0
38,42,未标注,112.99325,22.97125,1,0,0,0,0,0,0,0,0,0,0
39,41,未标注,112.99775,22.96675,1,0,0,0,0,0,0,0,0,0,0
38,43,未标注,112.99325,22.97575,1,0,0,0,0,0,0,0,0,0,0
43,16,未标注,113.01575,22.85425,1,0,0,0,0,0,0,0,0,0,0
44,15,未标注,113.02025,22.84975,1,0,0,0,0,0,0,0,0,0,0
46,15,未标注,113.02925,22.84975,1,0,0,0,0,0,0,0,0,0,0
41,20,未标注,113.00675,22.87225,1,0,0,0,0,0,0,0,0,0,0
48,13,未标注,113.03825,22.84075,1,0,0,0,0,0,0,0,0,0,0
46,14,未标注,113.02925,22.84525,1,0,0,0,0,0,0,0,0,0,0
80,64,未标注,113.18225,23.07025,1,0,0,0,0,0,0,0,0,0,0
78,66,未标注,113.17325,23.07925,1,0,0,0,0,0,0,0,0,0,0
79,65,未标注,113.17775,23.07475,1,0,0,0,0,0,0,0,0,0,0
88,55,桂城街道,113.21825,23.02975,6,6,1,27,762,47,1376,11627,1,22,557
87,55,桂城街道,113.21375,23.02975,5,5,1,27,762,47,1376,11627,1,22,557
87,54,桂城街道,113.21375,23.02525,6,3,1,27,762,47,1376,11627,1,22,557
88,54,桂城街道,113.21825,23.02525,3,1,1,27,762,47,1376,11627,1,22,557
87,56,桂城街道,113.21375,23.03425,3,2,1,27,762,47,1376,11627,1,22,557
86,51,桂城街道,113.20925,23.01175,1,0,0,0,0,0,0,0,0,0,0
83,56,桂城街道,113.19575,23.03425,12,0,0,0,0,0,0,0,0,0,0
73,49,桂城街道,113.15075,23.00275,9,0,0,0,0,0,0,0,0,0,0
67,60,桂城街道,113.12375,23.05225,18,0,0,0,0,0,0,0,0,0,0
72,57,桂城街道,113.14625,23.03875,148,0,0,0,0,0,0,0,0,0,0
92,56,桂城街道,113.23625,23.03425,66,0,0,0,0,0,0,0,0,0,0
75,50,桂城街道,113.15975,23.00725,3,0,0,0,0,0,0,0,0,0,0
77,59,桂城街道,113.16875,23.04775,9,0,0,0,0,0,0,0,0,0,0
83,53,桂城街道,113.19575,23.02075,3,0,0,0,0,0,0,0,0,0,0
79,59,桂城街道,113.17775,23.04775,2,0,0,0,0,0,0,0,0,0,0
72,58,桂城街道,113.14625,23.04325,27,0,0,0,0,0,0,0,0,0,0
93,52,桂城街道,113.24075,23.01625,2,0,0,0,0,0,0,0,0,0,0
86,57,桂城街道,113.20925,23.03875,6,0,0,0,0,0,0,0,0,0,0
71,64,桂城街道,113.14175,23.07025,12,0,0,0,0,0,0,0,0,0,0
90,55,桂城街道,113.22725,23.02975,3,0,0,0,0,0,0,0,0,0,0
76,65,桂城街道,113.16425,23.07475,12,0,0,0,0,0,0,0,0,0,0
72,64,桂城街道,113.14625,23.07025,12,0,0,0,0,0,0,0,0,0,0
83,57,桂城街道,113.19575,23.03875,9,0,0,0,0,0,0,0,0,0,0
72,59,桂城街道,113.14625,23.04775,11,0,0,0,0,0,0,0,0,0,0
76,48,桂城街道,113.16425,22.99825,3,0,0,0,0,0,0,0,0,0,0
78,51,桂城街道,113.17325,23.01175,1,0,0,0,0,0,0,0,0,0,0
73,64,桂城街道,113.15075,23.07025,43,0,0,0,0,0,0,0,0,0,0
79,52,桂城街道,113.17775,23.01625,1,0,0,0,0,0,0,0,0,0,0
80,60,桂城街道,113.18225,23.05225,5,0,0,0,0,0,0,0,0,0,0
74,54,桂城街道,113.15525,23.02525,18,0,0,0,0,0,0,0,0,0,0
94,53,桂城街道,113.24525,23.02075,1,0,0,0,0,0,0,0,0,0,0
78,53,桂城街道,113.17325,23.02075,3,0,0,0,0,0,0,0,0,0,0
72,63,桂城街道,113.14625,23.06575,8,0,0,0,0,0,0,0,0,0,0
90,56,桂城街道,113.22725,23.03425,1,0,0,0,0,0,0,0,0,0,0
71,60,桂城街道,113.14175,23.05225,20,0,0,0,0,0,0,0,0,0,0
84,51,桂城街道,113.20025,23.01175,6,0,0,0,0,0,0,0,0,0,0
80,61,桂城街道,113.18225,23.05675,5,0,0,0,0,0,0,0,0,0,0
93,51,桂城街道,113.24075,23.01175,3,0,0,0,0,0,0,0,0,0,0
75,63,桂城街道,113.15975,23.06575,10,0,0,0,0,0,0,0,0,0,0
77,48,桂城街道,113.16875,22.99825,5,0,0,0,0,0,0,0,0,0,0
76,52,桂城街道,113.16425,23.01625,3,0,0,0,0,0,0,0,0,0,0
76,55,桂城街道,113.16425,23.02975,11,0,0,0,0,0,0,0,0,0,0
79,55,桂城街道,113.17775,23.02975,7,0,0,0,0,0,0,0,0,0,0
88,56,桂城街道,113.21825,23.03425,12,0,0,0,0,0,0,0,0,0,0
74,49,桂城街道,113.15525,23.00275,1,0,0,0,0,0,0,0,0,0,0
72,56,桂城街道,113.14625,23.03425,80,0,0,0,0,0,0,0,0,0,0
72,60,桂城街道,113.14625,23.05225,8,0,0,0,0,0,0,0,0,0,0
86,54,桂城街道,113.20925,23.02525,1,0,0,0,0,0,0,0,0,0,0
82,54,桂城街道,113.19125,23.02525,4,0,0,0,0,0,0,0,0,0,0
77,56,桂城街道,113.16875,23.03425,12,0,0,0,0,0,0,0,0,0,0
84,55,桂城街道,113.20025,23.02975,11,0,0,0,0,0,0,0,0,0,0
73,63,桂城街道,113.15075,23.06575,334,0,0,0,0,0,0,0,0,0,0
68,64,桂城街道,113.12825,23.07025,3,0,0,0,0,0,0,0,0,0,0
71,58,桂城街道,113.14175,23.04325,19,0,0,0,0,0,0,0,0,0,0
81,56,桂城街道,113.18675,23.03425,17,0,0,0,0,0,0,0,0,0,0
69,62,桂城街道,113.13275,23.06125,15,0,0,0,0,0,0,0,0,0,0
68,62,桂城街道,113.12825,23.06125,11,0,0,0,0,0,0,0,0,0,0
94,48,桂城街道,113.24525,22.99825,2,0,0,0,0,0,0,0,0,0,0
86,55,桂城街道,113.20925,23.02975,6,0,0,0,0,0,0,0,0,0,0
79,54,桂城街道,113.17775,23.02525,3,0,0,0,0,0,0,0,0,0,0
87,58,桂城街道,113.21375,23.04325,1,0,0,0,0,0,0,0,0,0,0
81,59,桂城街道,113.18675,23.04775,10,0,0,0,0,0,0,0,0,0,0
81,58,桂城街道,113.18675,23.04325,3,0,0,0,0,0,0,0,0,0,0
86,52,桂城街道,113.20925,23.01625,3,0,0,0,0,0,0,0,0,0,0
72,55,桂城街道,113.14625,23.02975,8,0,0,0,0,0,0,0,0,0,0
74,58,桂城街道,113.15525,23.04325,11,0,0,0,0,0,0,0,0,0,0
72,54,桂城街道,113.14625,23.02525,6,0,0,0,0,0,0,0,0,0,0
78,59,桂城街道,113.17325,23.04775,18,0,0,0,0,0,0,0,0,0,0
77,54,桂城街道,113.16875,23.02525,5,0,0,0,0,0,0,0,0,0,0
95,56,桂城街道,113.24975,23.03425,1,0,0,0,0,0,0,0,0,0,0
77,53,桂城街道,113.16875,23.02075,5,0,0,0,0,0,0,0,0,0,0
87,57,桂城街道,113.21375,23.03875,4,0,0,0,0,0,0,0,0,0,0
74,61,桂城街道,113.15525,23.05675,5,0,0,0,0,0,0,0,0,0,0
71,59,桂城街道,113.14175,23.04775,26,0,0,0,0,0,0,0,0,0,0
71,55,桂城街道,113.14175,23.02975,15,0,0,0,0,0,0,0,0,0,0
73,61,桂城街道,113.15075,23.05675,8,0,0,0,0,0,0,0,0,0,0
74,63,桂城街道,113.15525,23.06575,102,0,0,0,0,0,0,0,0,0,0
78,55,桂城街道,113.17325,23.02975,2,0,0,0,0,0,0,0,0,0,0
76,56,桂城街道,113.16425,23.03425,12,0,0,0,0,0,0,0,0,0,0
74,56,桂城街道,113.15525,23.03425,21,0,0,0,0,0,0,0,0,0,0
83,58,桂城街道,113.19575,23.04325,5,0,0,0,0,0,0,0,0,0,0
79,58,桂城街道,113.17775,23.04325,2,0,0,0,0,0,0,0,0,0,0
71,56,桂城街道,113.14175,23.03425,16,0,0,0,0,0,0,0,0,0,0
78,63,桂城街道,113.17325,23.06575,7,0,0,0,0,0,0,0,0,0,0
92,47,桂城街道,113.23625,22.99375,1,0,0,0,0,0,0,0,0,0,0
73,60,桂城街道,113.15075,23.05225,34,0,0,0,0,0,0,0,0,0,0
77,55,桂城街道,113.16875,23.02975,8,0,0,0,0,0,0,0,0,0,0
85,53,桂城街道,113.20475,23.02075,9,0,0,0,0,0,0,0,0,0,0
90,57,桂城街道,113.22725,23.03875,1,0,0,0,0,0,0,0,0,0,0
71,62,桂城街道,113.14175,23.06125,28,0,0,0,0,0,0,0,0,0,0
69,61,桂城街道,113.13275,23.05675,7,0,0,0,0,0,0,0,0,0,0
81,54,桂城街道,113.18675,23.02525,11,0,0,0,0,0,0,0,0,0,0
90,49,桂城街道,113.22725,23.00275,3,0,0,0,0,0,0,0,0,0,0
84,56,桂城街道,113.20025,23.03425,3,0,0,0,0,0,0,0,0,0,0
74,50,桂城街道,113.15525,23.00725,5,0,0,0,0,0,0,0,0,0,0
73,53,桂城街道,113.15075,23.02075,2,0,0,0,0,0,0,0,0,0,0
76,60,桂城街道,113.16425,23.05225,6,0,0,0,0,0,0,0,0,0,0
75,53,桂城街道,113.15975,23.02075,11,0,0,0,0,0,0,0,0,0,0
70,63,桂城街道,113.13725,23.06575,19,0,0,0,0,0,0,0,0,0,0
72,62,桂城街道,113.14625,23.06125,8,0,0,0,0,0,0,0,0,0,0
82,53,桂城街道,113.19125,23.02075,1,0,0,0,0,0,0,0,0,0,0
91,49,桂城街道,113.23175,23.00275,2,0,0,0,0,0,0,0,0,0,0
70,60,桂城街道,113.13725,23.05225,2,0,0,0,0,0,0,0,0,0,0
85,58,桂城街道,113.20475,23.04325,9,0,0,0,0,0,0,0,0,0,0
81,60,桂城街道,113.18675,23.05225,6,0,0,0,0,0,0,0,0,0,0
79,57,桂城街道,113.17775,23.03875,4,0,0,0,0,0,0,0,0,0,0
90,53,桂城街道,113.22725,23.02075,5,0,0,0,0,0,0,0,0,0,0
93,48,桂城街道,113.24075,22.99825,1,0,0,0,0,0,0,0,0,0,0
75,64,桂城街道,113.15975,23.07025,5,0,0,0,0,0,0,0,0,0,0
74,62,桂城街道,113.15525,23.06125,4,0,0,0,0,0,0,0,0,0,0
73,62,桂城街道,113.15075,23.06125,4,0,0,0,0,0,0,0,0,0,0
71,57,桂城街道,113.14175,23.03875,14,0,0,0,0,0,0,0,0,0,0
82,57,桂城街道,113.19125,23.03875,14,0,0,0,0,0,0,0,0,0,0
85,55,桂城街道,113.20475,23.02975,16,0,0,0,0,0,0,0,0,0,0
75,62,桂城街道,113.15975,23.06125,11,0,0,0,0,0,0,0,0,0,0
74,59,桂城街道,113.15525,23.04775,2,0,0,0,0,0,0,0,0,0,0
75,61,桂城街道,113.15975,23.05675,5,0,0,0,0,0,0,0,0,0,0
71,61,桂城街道,113.14175,23.05675,18,0,0,0,0,0,0,0,0,0,0
74,65,桂城街道,113.15525,23.07475,10,0,0,0,0,0,0,0,0,0,0
76,59,桂城街道,113.16425,23.04775,4,0,0,0,0,0,0,0,0,0,0
76,51,桂城街道,113.16425,23.01175,2,0,0,0,0,0,0,0,0,0,0
79,53,桂城街道,113.17775,23.02075,6,0,0,0,0,0,0,0,0,0,0
79,62,桂城街道,113.17775,23.06125,5,0,0,0,0,0,0,0,0,0,0
79,60,桂城街道,113.17775,23.05225,6,0,0,0,0,0,0,0,0,0,0
78,56,桂城街道,113.17325,23.03425,5,0,0,0,0,0,0,0,0,0,0
73,56,桂城街道,113.15075,23.03425,73,0,0,0,0,0,0,0,0,0,0
74,64,桂城街道,113.15525,23.07025,66,0,0,0,0,0,0,0,0,0,0
74,51,桂城街道,113.15525,23.01175,30,0,0,0,0,0,0,0,0,0,0
77,63,桂城街道,113.16875,23.06575,4,0,0,0,0,0,0,0,0,0,0
87,53,桂城街道,113.21375,23.02075,4,0,0,0,0,0,0,0,0,0,0
73,57,桂城街道,113.15075,23.03875,419,0,0,0,0,0,0,0,0,0,0
82,56,桂城街道,113.19125,23.03425,2,0,0,0,0,0,0,0,0,0,0
84,57,桂城街道,113.20025,23.03875,2,0,0,0,0,0,0,0,0,0,0
75,52,桂城街道,113.15975,23.01625,85,0,0,0,0,0,0,0,0,0,0
76,53,桂城街道,113.16425,23.02075,8,0,0,0,0,0,0,0,0,0,0
75,51,桂城街道,113.15975,23.01175,5,0,0,0,0,0,0,0,0,0,0
72,65,桂城街道,113.14625,23.07475,1,0,0,0,0,0,0,0,0,0,0
67,61,桂城街道,113.12375,23.05675,6,0,0,0,0,0,0,0,0,0,0
94,55,桂城街道,113.24525,23.02975,3,0,0,0,0,0,0,0,0,0,0
83,60,桂城街道,113.19575,23.05225,2,0,0,0,0,0,0,0,0,0,0
67,65,桂城街道,113.12375,23.07475,2,0,0,0,0,0,0,0,0,0,0
77,60,桂城街道,113.16875,23.05225,5,0,0,0,0,0,0,0,0,0,0
83,59,桂城街道,113.19575,23.04775,2,0,0,0,0,0,0,0,0,0,0
70,62,桂城街道,113.13725,23.06125,10,0,0,0,0,0,0,0,0,0,0
85,52,桂城街道,113.20475,23.01625,1,0,0,0,0,0,0,0,0,0,0
89,56,桂城街道,113.22275,23.03425,6,0,0,0,0,0,0,0,0,0,0
82,58,桂城街道,113.19125,23.04325,13,0,0,0,0,0,0,0,0,0,0
