id,name,type,mentions,confidence,source_count,weight,sources
E0501,该寺,建筑,9,0.8,1,9.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0502,九路,地点,9,0.8,1,9.0,南海文史资料_第23辑_石景宜先生传
E0503,叶问,人物,9,0.95,1,9.0,南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编)
E0504,金山寺,建筑,9,0.8,1,9.0,南海文史资料_第2辑_(政协南海县委员会文史组)
E0505,枕流亭,建筑,9,0.9,1,9.0,南海文史资料_第3辑_西樵山专辑
E0506,东塘,地点,9,0.8,1,9.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0507,花县,地点,9,0.8,1,9.0,南海文史资料_第8辑_(政协南海县委员会文史组)
E0508,非遗,文化要素,8,0.95,1,8.0,南海非遗_南海书画篇
E0509,林村,地点,8,0.8,1,8.0,南海龙狮南海衣冠南海古村_南海衣冠篇
E0510,峰村,地点,8,0.8,1,8.0,南海龙狮南海衣冠南海古村_南海衣冠篇
E0511,棉纺织,文化要素,8,0.75,1,8.0,南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑
E0512,麻纺织,文化要素,8,0.75,1,8.0,南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑
E0513,七十年代,朝代,8,0.8,1,8.0,南海文史资料_第10辑_陈启沅与南海县纺织工业史专辑
E0514,殿堂,建筑,8,0.8,1,8.0,南海文史资料_第11辑_(南海县政协文史资料研究委员会编)
E0515,国史馆,建筑,8,0.8,1,8.0,南海文史资料_第13辑_(南海县政协文史资料研究委员会编)
E0516,陈氏,人物,8,0.7,1,8.0,南海文史资料_第13辑_(南海县政协文史资料研究委员会编)
E0517,业务范围,地点,8,0.8,1,8.0,南海文史资料_第15辑_(南海县政协文史资料委员会编)
E0518,欧阳山,地点,8,0.8,1,8.0,南海文史资料_第19辑_(南海县政协文史资料委员会编)
E0519,星洲,地点,8,0.8,1,8.0,南海文史资料_第22辑_(广东省南海市政协文史资料委员会编)
E0520,画艺,文化要素,8,0.75,1,8.0,南海文史资料_第26辑_黄少强画传
E0521,心学,文化要素,8,0.95,1,8.0,南海文史资料_第27辑_(广东省南海市政协文史和学习委员会编)
E0522,张路,地点,8,0.8,1,8.0,南海文史资料_第28辑_纪念詹天佑诞辰一百三十五周年特辑
E0523,阳台,建筑,8,0.8,1,8.0,南海文史资料_第29辑_(广东省南海市政协文史和学习委员会编)
E0524,社会青年,朝代,8,0.8,1,8.0,南海文史资料_第34辑_(广东省南海市政协文史和学习委员会)
E0525,湖山,地点,8,0.8,1,8.0,南海文史资料_第3辑_西樵山专辑
E0526,万历,朝代,8,0.95,1,8.0,南海文史资料_第3辑_西樵山专辑
E0527,湛若水,人物,8,0.95,1,8.0,南海文史资料_第3辑_西樵山专辑
E0528,三湖,地点,8,0.8,1,8.0,南海文史资料_第3辑_西樵山专辑
E0529,教堂,建筑,8,0.8,1,8.0,南海文史资料_第5辑_(政协南海县委员会文史组编)
E0530,水区,地点,8,0.8,1,8.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0531,黄先生,人物,8,0.7,1,8.0,南海文史资料_第6辑_(政协南海县委员会文史组编)
E0532,真楼,建筑,6,0.8,2,7.8,佛山祖庙;岭南文化知识书系_佛山祖庙
E0533,钟鼓楼,建筑,6,0.8,2,7.8,佛山祖庙;岭南文化知识书系_佛山祖庙
E0534,行宫,建筑,6,0.8,2,7.8,佛山祖庙;岭南文化知识书系_佛山祖庙
E0535,山水画,文化要素,7,0.75,1,7.0,佛山市博物馆藏绘画
E0536,擅画,文化要素,7,0.75,1,7.0,佛山市博物馆藏绘画
E0537,苏仁山,地点,7,0.8,1,7.0,佛山市博物馆藏绘画
E0538,庐山,地点,7,0.8,1,7.0,佛山市博物馆藏绘画
E0539,渔村,地点,7,0.8,1,7.0,南海美食_南海美食篇
E0540,茶艺,文化要素,7,0.75,1,7.0,南海美食_南海美食篇
E0541,松岗,地点,7,0.95,1,7.0,南海美食_南海美食篇
E0542,林良,人物,7,0.95,1,7.0,南海非遗_南海书画篇
E0543,彩画,文化要素,7,0.75,1,7.0,南海非遗_南海书画篇
E0544,圣朝,朝代,7,0.8,1,7.0,大德南海志_维基文库
E0545,郡县,地点,7,0.8,1,7.0,大德南海志_维基文库
E0546,讲堂,建筑,7,0.8,1,7.0,大德南海志_维基文库
E0547,仙湖,地点,7,0.8,1,7.0,大德南海志_维基文库
E0548,妙高台,建筑,7,0.8,1,7.0,大德南海志_维基文库
E0549,两广总督,人物,7,0.7,1,7.0,南海文史资料_第11辑_(南海县政协文史资料研究委员会编)
E0550,何先生,人物,7,0.7,1,7.0,南海文史资料_第11辑_(南海县政协文史资料研究委员会编)
E0551,早年,朝代,7,0.8,1,7.0,南海文史资料_第13辑_(南海县政协文史资料研究委员会编)
E0552,民国初年,朝代,7,0.8,1,7.0,南海文史资料_第15辑_(南海县政协文史资料委员会编)
E0553,一镇,地点,7,0.8,1,7.0,南海文史资料_第17辑_(南海县政协文史资料研究委员会)
E0554,下半年,朝代,7,0.8,1,7.0,南海文史资料_第19辑_(南海县政协文史资料委员会编)
E0555,六区,地点,7,0.8,1,7.0,南海文史资料_第19辑_(南海县政协文史资料委员会编)
E0556,区新,人物,7,0.95,1,7.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0557,禅寺,建筑,7,0.8,1,7.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0558,罗格,人物,7,0.95,1,7.0,南海文史资料_第1辑_(政协南海县委员会文史组)
E0559,两年,朝代,7,0.8,1,7.0,南海文史资料_第20辑_(广东省南海县政协文史资料委员会编)
E0560,教育馆,建筑,7,0.8,1,7.0,南海文史资料_第20辑_(广东省南海县政协文史资料委员会编)
E0561,农学院,建筑,7,0.8,1,7.0,南海文史资料_第24辑_蚕桑谱专辑
E0562,传染,文化要素,7,0.75,1,7.0,南海文史资料_第24辑_蚕桑谱专辑
E0563,解放区,地点,7,0.8,1,7.0,南海文史资料_第25辑_(广东省南海市政协文史资料委员会编)
