record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0011,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,林得润夫妇墓,明代,广东省佛山市南海区西樵镇大同社区居委会柏山村口牌坊后小山岗,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0012,不可移动文物Excel.xls,不可移动文物,古建筑,驿站会馆（及其他交通道路设施、旅行服务设施）,尚未核定公布为文物保护单位的不可移动文物,西樵山火石迳古道,清代,广东省佛山市南海区西樵镇东碧社区黄旗峰迳边村至山根莘村,西樵镇,point,112.972637,22.930869,address_token_centroid,0.72,,西樵山 (157 points),new_candidate,,西樵镇
IH_0013,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,西樵山岑氏家族墓,清代,广东省佛山市南海区西樵镇东碧社区西樵山云路村九稔岗,西樵镇,point,112.972637,22.930869,address_token_centroid,0.72,,西樵山 (157 points),new_candidate,,西樵镇
IH_0014,不可移动文物Excel.xls,不可移动文物,古墓葬,名人或贵族墓,市级和县级文物保护单位,李子长墓,明代,广东省佛山市南海区西樵镇东碧社区西樵山云路村云路峰下,西樵镇,point,112.972752,22.922157,existing_anchor_name,0.98,李子长墓,,duplicate_existing_anchor,李子长墓,西樵镇
IH_0015,不可移动文物Excel.xls,不可移动文物,古建筑,池塘井泉,市级和县级文物保护单位,西樵山紫姑井,隋唐五代十国,广东省佛山市南海区西樵镇东碧社区西樵山寺边村九龙岩景区,西樵镇,point,112.976037,22.91698,existing_anchor_name,0.98,西樵山紫姑井,,duplicate_existing_anchor,西樵山紫姑井,西樵镇
IH_0016,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,摩崖石刻,省级文物保护单位,宝峰胜处摩崖石刻,明代,广东省佛山市南海区西樵镇东碧社区西樵山寺边村西南侧,西樵镇,point,112.980933,22.929502,existing_anchor_name,0.98,宝峰胜处摩崖石刻,,duplicate_existing_anchor,宝峰胜处摩崖石刻,西樵镇
IH_0017,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,摩崖石刻,市级和县级文物保护单位,翠岩摩崖石刻,清代,广东省佛山市南海区西樵镇东碧社区西樵山碧云村翠岩景区,西樵镇,point,112.980933,22.929502,existing_anchor_name,0.98,翠岩摩崖石刻,,duplicate_existing_anchor,翠岩摩崖石刻,西樵镇
IH_0018,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,西樵山杨氏家族墓,宋辽西夏金元,广东省佛山市南海区西樵镇东碧社区西樵山云路村楠木坑,西樵镇,point,112.972637,22.930869,address_token_centroid,0.72,,西樵山 (157 points),new_candidate,,西樵镇
IH_0019,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,摩崖石刻,市级和县级文物保护单位,大科峰摩崖石刻,清代,广东省佛山市南海区西樵镇东碧社区西樵山大科村大科峰西南麓,西樵镇,point,112.977414,22.92249,existing_anchor_name,0.98,大科峰摩崖石刻,,duplicate_existing_anchor,大科峰摩崖石刻,西樵镇
IH_0020,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,摩崖石刻,市级和县级文物保护单位,玉廪峰摩崖石刻,明代,广东省佛山市南海区西樵镇儒溪村委会江边村民小组西樵山玉廪峰巅,西樵镇,point,112.960983,22.920861,existing_anchor_name,0.98,玉廪峰摩崖石刻,,duplicate_existing_anchor,玉廪峰摩崖石刻,西樵镇
IH_0021,不可移动文物Excel.xls,不可移动文物,古墓葬,普通墓葬,尚未核定公布为文物保护单位的不可移动文物,李咸江墓,宋辽西夏金元,广东省佛山市南海区西樵镇东碧社区西樵山云路村铁泉峰飞鹅岭,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0022,不可移动文物Excel.xls,不可移动文物,石窟寺及石刻,摩崖石刻,市级和县级文物保护单位,九龙岩摩崖石刻,明代,广东省佛山市南海区西樵镇东碧社区西樵山寺边村九龙岩景区,西樵镇,point,112.977822,22.916936,existing_anchor_name,0.98,九龙岩摩崖石刻,,duplicate_existing_anchor,九龙岩摩崖石刻,西樵镇
IH_0023,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,厚村刘氏大宗祠,清代,广东省佛山市南海区狮山镇官窑社区居委会厚东村,狮山镇,point,113.074893,23.225188,poi_name_fuzzy,0.84,,刘氏大宗祠,new_candidate,,狮山镇
IH_0024,不可移动文物Excel.xls,不可移动文物,古建筑,驿站会馆（及其他交通道路设施、旅行服务设施）,尚未核定公布为文物保护单位的不可移动文物,大何长庚古道,清代,广东省佛山市南海区狮山镇狮西村委会大何村西侧,狮山镇,point,113.030542,23.122685,address_token_centroid,0.72,,狮山 (876 points),new_candidate,,狮山镇
IH_0025,不可移动文物Excel.xls,不可移动文物,古文化遗址,窑址,尚未核定公布为文物保护单位的不可移动文物,瑶头窑址,"隋唐五代十国,宋辽西夏金元",广东省佛山市南海区里水镇瑶头村委会窑张村石角,里水镇,point,113.138868,23.223757,town_representative_point,0.38,,,new_candidate,,里水镇
