ix,iy,clng,clat,town,official_count,immovable_count,museum_count,historical_area_count,historical_street_count
9,31,112.88075,22.93975,西樵镇,1,0,0,1,0
9,32,112.88075,22.94425,西樵镇,1,0,0,1,0
9,33,112.88075,22.94875,西樵镇,1,0,0,1,0
9,34,112.88075,22.95325,西樵镇,1,0,0,1,0
9,35,112.88075,22.95775,西樵镇,1,0,0,1,0
9,47,112.88075,23.01175,丹灶镇,0,0,0,0,0
9,48,112.88075,23.01625,丹灶镇,0,0,0,0,0
9,50,112.88075,23.02525,丹灶镇,0,0,0,0,0
9,51,112.88075,23.02975,丹灶镇,0,0,0,0,0
9,52,112.88075,23.03425,丹灶镇,0,0,0,0,0
9,53,112.88075,23.03875,丹灶镇,0,0,0,0,0
9,54,112.88075,23.04325,丹灶镇,0,0,0,0,0
9,55,112.88075,23.04775,丹灶镇,2,1,0,1,0
9,56,112.88075,23.05225,丹灶镇,1,0,0,1,0
9,57,112.88075,23.05675,丹灶镇,0,0,0,0,0
9,58,112.88075,23.06125,丹灶镇,0,0,0,0,0
9,59,112.88075,23.06575,丹灶镇,0,0,0,0,0
9,60,112.88075,23.07025,丹灶镇,0,0,0,0,0
9,61,112.88075,23.07475,丹灶镇,0,0,0,0,0
9,62,112.88075,23.07925,丹灶镇,0,0,0,0,0
9,63,112.88075,23.08375,丹灶镇,0,0,0,0,0
9,64,112.88075,23.08825,丹灶镇,0,0,0,0,0
9,65,112.88075,23.09275,丹灶镇,0,0,0,0,0
9,66,112.88075,23.09725,丹灶镇,0,0,0,0,0
9,67,112.88075,23.10175,丹灶镇,0,0,0,0,0
9,68,112.88075,23.10625,丹灶镇,0,0,0,0,0
9,69,112.88075,23.11075,丹灶镇,0,0,0,0,0
9,70,112.88075,23.11525,丹灶镇,0,0,0,0,0
10,11,112.88525,22.84975,西樵镇,1,0,0,1,0
10,12,112.88525,22.85425,西樵镇,1,0,0,1,0
10,13,112.88525,22.85875,西樵镇,1,0,0,1,0
10,14,112.88525,22.86325,西樵镇,1,0,0,1,0
10,15,112.88525,22.86775,西樵镇,1,0,0,1,0
10,16,112.88525,22.87225,西樵镇,1,0,0,1,0
10,17,112.88525,22.87675,西樵镇,1,0,0,1,0
10,26,112.88525,22.91725,西樵镇,1,0,0,1,0
10,27,112.88525,22.92175,西樵镇,1,0,0,1,0
10,28,112.88525,22.92625,西樵镇,1,0,0,1,0
10,29,112.88525,22.93075,西樵镇,1,0,0,1,0
10,30,112.88525,22.93525,西樵镇,1,0,0,1,0
10,31,112.88525,22.93975,西樵镇,1,0,0,1,0
10,32,112.88525,22.94425,西樵镇,1,0,0,1,0
10,33,112.88525,22.94875,西樵镇,1,0,0,1,0
10,34,112.88525,22.95325,西樵镇,1,0,0,1,0
10,35,112.88525,22.95775,西樵镇,1,0,0,1,0
10,46,112.88525,23.00725,丹灶镇,0,0,0,0,0
10,47,112.88525,23.01175,丹灶镇,0,0,0,0,0
10,48,112.88525,23.01625,丹灶镇,0,0,0,0,0
10,49,112.88525,23.02075,丹灶镇,0,0,0,0,0
10,50,112.88525,23.02525,丹灶镇,0,0,0,0,0
10,51,112.88525,23.02975,丹灶镇,0,0,0,0,0
10,52,112.88525,23.03425,丹灶镇,0,0,0,0,0
10,53,112.88525,23.03875,丹灶镇,2,2,0,0,0
10,54,112.88525,23.04325,丹灶镇,1,1,0,0,0
10,55,112.88525,23.04775,丹灶镇,1,1,0,0,0
10,56,112.88525,23.05225,丹灶镇,0,0,0,0,0
10,57,112.88525,23.05675,丹灶镇,0,0,0,0,0
10,58,112.88525,23.06125,丹灶镇,0,0,0,0,0
10,59,112.88525,23.06575,丹灶镇,0,0,0,0,0
10,60,112.88525,23.07025,丹灶镇,0,0,0,0,0
10,61,112.88525,23.07475,丹灶镇,0,0,0,0,0
10,62,112.88525,23.07925,丹灶镇,0,0,0,0,0
10,63,112.88525,23.08375,丹灶镇,0,0,0,0,0
10,64,112.88525,23.08825,丹灶镇,0,0,0,0,0
10,65,112.88525,23.09275,丹灶镇,0,0,0,0,0
10,66,112.88525,23.09725,丹灶镇,0,0,0,0,0
10,67,112.88525,23.10175,丹灶镇,0,0,0,0,0
10,68,112.88525,23.10625,丹灶镇,0,0,0,0,0
10,69,112.88525,23.11075,丹灶镇,0,0,0,0,0
10,70,112.88525,23.11525,丹灶镇,0,0,0,0,0
11,11,112.88975,22.84975,西樵镇,1,0,0,1,0
11,12,112.88975,22.85425,西樵镇,1,0,0,1,0
11,13,112.88975,22.85875,西樵镇,1,0,0,1,0
11,14,112.88975,22.86325,西樵镇,1,0,0,1,0
11,15,112.88975,22.86775,西樵镇,1,0,0,1,0
11,16,112.88975,22.87225,西樵镇,1,0,0,1,0
11,17,112.88975,22.87675,西樵镇,1,0,0,1,0
11,25,112.88975,22.91275,西樵镇,1,0,0,1,0
11,26,112.88975,22.91725,西樵镇,1,0,0,1,0
11,27,112.88975,22.92175,西樵镇,1,0,0,1,0
11,28,112.88975,22.92625,西樵镇,1,0,0,1,0
